Title,Year,Director,Genre,Rating
"The Shawshank Redemption",1994,Frank Darabont,Drama,9.3
"The Godfather",1972,Francis Ford Coppola,Crime,9.2
"The Dark Knight",2008,Christopher Nolan,Action,9.0
"12 Angry Men",1957,Sidney Lumet,Drama,9.0
"Schindler's List",1993,Steven Spielberg,Biography,8.9
"Pulp Fiction",1994,Quentin Tarantino,Crime,8.9
"The Lord of the Rings: The Return of the King",2003,Peter Jackson,Adventure,8.9
"The Good, the Bad and the Ugly",1966,Sergio Leone,Western,8.8
"Fight Club",1999,David Fincher,Drama,8.8
"Forrest Gump",1994,Robert Zemeckis,Drama,8.8
"Inception",2010,Christopher Nolan,Action,8.8
"The Matrix",1999,Lana Wachowski,Action,8.7
"Goodfellas",1990,Martin Scorsese,Crime,8.7
"Star Wars: Episode V - The Empire Strikes Back",1980,Irvin Kershner,Action,8.7
"One Flew Over the Cuckoo's Nest",1975,Milos Forman,Drama,8.7
